Region,Month Year,Age,Sex,Homicide (Murder),Other Homicide,Attempted Murder,Conspiracy to Murder,Manslaughter (excl. by driving),Manslaughter Unlawful Striking Causing Death,Driving Causing Death,Assault,Grievous Assault,Serious Assault,Serious Assault (Other),Common Assault',Sexual Offences,Rape and Attempted Rape,Other Sexual Offences,Robbery,Armed Robbery,Unarmed Robbery,Other Offences Against the Person,Kidnapping & Abduction etc.,Extortion,Stalking,Life Endangering Acts,Voluntary Assisted Dying,Offences Against the Person,Unlawful Entry,Unlawful Entry With Intent - Dwelling,Unlawful Entry Without Violence - Dwelling,Unlawful Entry With Violence - Dwelling,Unlawful Entry With Intent - Shop,Unlawful Entry With Intent - Other,Arson,Other Property Damage,Unlawful Use of Motor Vehicle,Other Theft (excl. Unlawful Entry),Stealing from Dwellings,Shop Stealing,Vehicles (steal from/enter with intent),Other Stealing,Fraud,Fraud by Computer,Fraud by Cheque,Fraud by Credit Card,Identity Fraud,Other Fraud,Handling Stolen Goods,Possess Property Suspected Stolen,Receiving Stolen Property,Possess etc. Tainted Property,Other Handling Stolen Goods,Offences Against Property,Drug Offences,Trafficking Drugs,Possess Drugs,Produce Drugs,Sell Supply Drugs,Other Drug Offences,Prostitution Offences,Found in Places Used for Purpose of Prostitution Offences,Have Interest in Premises Used for Prostitution Offences,Knowingly Participate in Provision Prostitution Offences,Public Soliciting,Procuring Prostitution,Permit Minor to be at a Place Used for Prostitution Offences,Advertising Prostitution,Other Prostitution Offences,Liquor (excl. Drunkenness),Gaming Racing & Betting Offences,Breach Domestic Violence Protection Order,Trespassing and Vagrancy,Weapons Act Offences,Unlawful Possess Concealable Firearm,Unlawful Possess Firearm - Other,Bomb Possess and/or use of,Possess and/or use other weapons; restricted items,Weapons Act Offences - Other,Good Order Offences,Disobey Move-on Direction,Resist Incite Hinder Obstruct Police,Fare Evasion,Public Nuisance,Stock Related Offences,Traffic and Related Offences,Dangerous Operation of a Vehicle,Drink Driving,Disqualified Driving,Interfere with Mechanism of Motor Vehicle,Miscellaneous Offences,Other Offences,Total
Brisbane,Jan-01,Adult,Female,0,0,0,0,0,0,0,19,0,7,2,10,0,0,0,2,1,1,1,0,0,0,1,0,22,21,17,17,0,2,2,0,16,19,116,1,83,11,21,81,0,4,17,0,60,34,8,7,19,0,287,126,0,59,4,2,61,47,7,1,3,36,0,0,0,0,0,0,6,3,3,0,0,0,2,1,44,2,29,2,11,0,76,2,62,12,0,3,308,1821
Brisbane,Jan-01,Adult,Male,6,3,3,0,0,0,0,107,3,52,9,43,34,3,31,37,32,5,23,2,0,7,14,0,210,185,128,119,9,16,41,3,142,79,261,18,88,83,72,182,0,14,26,0,142,136,36,26,70,4,988,471,7,215,14,28,207,7,1,0,2,4,0,0,0,0,7,0,56,19,64,3,5,0,47,9,269,0,116,11,142,0,396,22,308,66,0,20,1309,7317
Brisbane,Jan-01,Adult,Not Stated,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,21
Brisbane,Jan-01,Juvenile,Female,0,0,0,0,0,0,0,8,0,2,1,5,0,0,0,1,1,0,0,0,0,0,0,0,9,5,5,5,0,0,0,0,12,5,123,0,111,3,9,23,0,0,12,0,11,13,3,2,8,0,181,22,0,8,1,0,13,8,0,0,0,8,0,0,0,0,1,0,0,5,0,0,0,0,0,0,14,0,5,3,6,0,0,0,0,0,0,0,50,702
Brisbane,Jan-01,Juvenile,Male,0,1,1,0,0,0,0,21,2,7,2,10,4,0,4,4,2,2,1,0,0,0,1,0,31,67,36,36,0,8,23,1,111,45,173,7,85,57,24,12,0,0,11,0,1,28,7,12,9,0,437,59,0,33,2,1,23,0,0,0,0,0,0,0,0,0,5,0,0,24,8,0,2,0,5,1,101,1,16,65,19,0,14,4,9,1,0,16,227,1919
Brisbane,Jan-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Feb-01,Adult,Female,0,1,1,0,0,0,0,20,2,5,3,10,0,0,0,1,0,1,3,0,0,2,1,0,25,27,17,17,0,4,6,0,12,8,94,5,60,10,19,108,0,45,15,0,48,34,7,6,21,0,283,98,0,34,1,4,59,34,11,3,5,14,0,0,0,1,4,0,4,4,5,1,0,0,3,1,49,0,24,1,24,0,96,2,86,8,0,6,300,1803
Brisbane,Feb-01,Adult,Male,0,4,4,0,0,0,0,102,6,42,9,45,35,7,28,22,20,2,27,1,0,4,22,0,190,225,115,109,6,32,78,7,174,90,240,21,56,72,91,178,0,30,27,0,121,110,26,26,58,0,1024,488,6,199,17,31,235,18,4,3,9,2,0,0,0,0,1,0,47,30,66,4,12,0,37,13,261,4,116,5,136,0,373,19,300,54,0,35,1319,7330
Brisbane,Feb-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Feb-01,Juvenile,Female,0,0,0,0,0,0,0,7,0,1,0,6,0,0,0,3,0,3,0,0,0,0,0,0,10,8,5,5,0,0,3,0,18,19,66,2,48,8,8,1,0,0,1,0,0,6,3,1,2,0,118,6,0,1,0,0,5,6,0,0,0,6,0,0,0,0,3,0,0,3,1,0,0,0,1,0,20,1,5,9,5,0,1,0,1,0,0,1,41,468
Brisbane,Feb-01,Juvenile,Male,0,0,0,0,0,0,0,29,1,14,3,11,2,1,1,14,3,11,3,0,0,0,3,0,48,80,59,59,0,4,17,3,85,41,126,3,57,37,29,8,0,1,1,0,6,26,7,7,12,0,369,44,0,22,3,2,17,0,0,0,0,0,0,0,0,0,7,0,0,34,8,1,0,2,4,1,80,0,25,26,29,0,8,1,5,2,0,12,193,1707
Brisbane,Feb-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Mar-01,Adult,Female,0,1,1,0,0,0,0,25,4,2,7,12,1,0,1,0,0,0,2,0,0,1,1,0,29,20,13,12,1,4,3,0,24,13,136,6,81,13,36,101,0,16,29,0,56,34,7,1,26,0,328,112,0,52,3,4,53,27,7,0,0,18,0,0,0,2,0,0,6,2,3,0,0,0,3,0,73,4,36,5,28,0,83,3,74,6,0,5,311,1967
Brisbane,Mar-01,Adult,Male,0,4,4,0,0,0,0,136,9,50,13,64,45,10,35,34,28,6,28,8,0,5,15,0,247,192,91,89,2,31,70,2,223,70,442,13,118,215,96,247,0,58,58,0,131,135,43,19,70,3,1311,478,2,225,19,20,212,2,0,0,1,1,0,0,0,0,3,0,64,17,61,4,11,0,34,12,277,3,130,4,140,0,492,24,380,88,0,25,1419,8618
Brisbane,Mar-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Mar-01,Juvenile,Female,0,0,0,0,0,0,0,11,0,3,1,7,0,0,0,2,2,0,0,0,0,0,0,0,13,10,1,1,0,3,6,0,14,15,124,1,99,3,21,9,0,0,3,0,6,7,3,3,1,0,179,23,0,15,0,0,8,2,0,0,0,2,0,0,0,0,2,0,0,2,1,0,0,0,1,0,36,0,13,7,16,0,1,1,0,0,0,0,67,745
Brisbane,Mar-01,Juvenile,Male,0,0,0,0,0,0,0,23,1,15,2,5,3,1,2,7,1,6,4,0,0,0,4,0,37,60,34,34,0,12,14,0,129,56,177,7,72,53,45,13,0,0,5,0,8,25,7,5,13,0,460,81,0,39,0,0,42,0,0,0,0,0,0,0,0,0,10,0,0,32,14,0,2,0,11,1,77,0,25,22,30,0,19,5,14,0,0,16,249,2029
Brisbane,Mar-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,9
