School,Year,Short Suspension,Long Suspension,Exclusion
Mossman State High School,2010,126,10,4
Mossman State High School,2011,73,17,5
Mossman State High School,2012,76,10,2
Mossman State High School,2013,114,9,0
Mossman State High School,2014,141,10,2
Mossman State High School,2015,145,6,2
Mossman State High School,2016,202,7,1
Mossman State High School,2017,122,6,1
Mossman State High School,2018,120,15,4
Mossman State High School,2019,98,17,1
Mossman State High School,2020,94,7,1
Mossman State High School,2021,151,5,4
Mossman State High School,2022,295,3,1
