Collection year,Semester,Region,Year Level,Indigenous status,SDA type,Reason description,SDA count
2016,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,3
2016,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,3
2016,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,4
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,6
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,11
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,10
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,10
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Property Misconduct involving other's property,2
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Refusal to participate in the program of instruction,3
2016,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,3
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,7
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,1
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,7
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,2
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,1
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,1
2016,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,3
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,7
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,13
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,19
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,7
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Property Misconduct involving other's property,3
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Refusal to participate in the program of instruction,6
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,6
2016,Semester 1,Far North Queensland,Year 2,Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,1
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,3
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,8
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,4
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,16
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,2
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,1
