CollectionYear,Semester,Region,Year Level,Indigenous status,SDA type,Reason description,SDA count
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,5
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,4
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,2
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,1
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,1
2021,Semester 1,Far North Queensland,Prep Year,Indigenous,Short Suspension,Property Misconduct involving other's property,1
2021,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,1
2021,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2021,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,2
2021,Semester 1,Far North Queensland,Prep Year,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,2
2021,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,8
2021,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,8
2021,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,6
2021,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,3
2021,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,8
2021,Semester 1,Far North Queensland,Year 1,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,2
2021,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,2
2021,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2021,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,9
2021,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,5
2021,Semester 1,Far North Queensland,Year 1,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,15
